"","Date","ETH_Price","ETH_Returns","Trading_Volume","Inflow_Volume"
"1",2017-10-01,303.95,NA,1511264.71,5161215.84430819
"2",2017-10-02,296.5,-0.0248159957569509,1104217.48,6255813.85396043
"3",2017-10-03,292.48,-0.0136509301719947,1614235.08,6245934.52852705
"4",2017-10-04,291.99,-0.00167673315927352,1168807.66,6017672.77351048
"5",2017-10-05,294.81,0.00961152593593262,982644.49,4522643.56687668
"6",2017-10-06,310.8,0.0528185374510475,1054697,3202867.89005453
"7",2017-10-07,311.01,0.000675447509638438,658190.78,2034393.65358965
"8",2017-10-08,311.07,0.000192901235165799,921220.96,4758808.7115981
"9",2017-10-09,297.19,-0.0456463023362828,1452816.74,5375213.87037376
"10",2017-10-10,298.64,0.00486716970431456,2011440.17,3110690.82550399
"11",2017-10-11,304.01,0.0178217609957159,1122578.04,6079400.26357775
"12",2017-10-12,303.99,-6.57894737079445e-05,2381102.13,4597000.7083618
"13",2017-10-13,337.96,0.105932739156308,5782386.5,6591890.91194542
"14",2017-10-14,342,0.0118831917779607,2644022.46,6384209.34834686
"15",2017-10-15,337.96,-0.0118831917779607,3311218.81,5274497.02311638
"16",2017-10-16,335.19,-0.00823001005728763,2946408.58,3804875.9530166
"17",2017-10-17,315.19,-0.0615219036352341,2620614.96,4944915.46911707
"18",2017-10-18,309.7,-0.0175715446129656,3877210.96,1449352.54805345
"19",2017-10-19,308.66,-0.0033637395064714,2662555.18,5235280.02256041
"20",2017-10-20,304.51,-0.0135364201394825,2654276.53,2789748.37974117
"21",2017-10-21,298.94,-0.0184610429755345,2531002.63,6646748.00042397
"22",2017-10-22,293.79,-0.017377657956855,2113555.82,3561064.22664441
"23",2017-10-23,281.09,-0.0441903236497536,2720877.48,3274661.81163745
"24",2017-10-24,297.38,0.0563358795180173,4230858.49,4614452.26708752
"25",2017-10-25,294.49,-0.00976573561133431,2818151.89,5332327.83618994
"26",2017-10-26,294.71,0.000746775323231752,2290879.1,3929950.20501907
"27",2017-10-27,296.33,0.00548187620762874,1840292.6,6625916.50212196
"28",2017-10-28,291.87,-0.0151652005331568,1711301.74,886491.28579626
"29",2017-10-29,305,0.0440032789519655,2702954.94,5401590.35274875
"30",2017-10-30,307.25,0.00734997183873265,2725859.28,3814124.97957265
"31",2017-10-31,304.9,-0.00767789445193579,2344790.92,3383784.26023734
"32",2017-11-01,287.01,-0.0604667956360228,2938149.94,7120765.30281637
"33",2017-11-02,283.12,-0.0136462223209781,3736468.51,6536155.90478801
"34",2017-11-03,304.08,0.0714199886437852,2360525.71,8027591.18933014
