"","Date","BINANCE","BITSTAMP","BITFINEX","COINBASE","HITBTC","Next","Futures_Start"
"1",2013-04-02,NA,NA,117.98999,NA,NA,NA,0
"2",2013-04-03,NA,133.78,134.95296889,NA,NA,NA,0
"3",2013-04-04,NA,135,132.681,NA,NA,NA,0
"4",2013-04-05,NA,141.8,140,NA,NA,NA,0
"5",2013-04-06,NA,141,143.99,NA,NA,NA,0
"6",2013-04-07,NA,164.97,174.4,NA,NA,NA,0
"7",2013-04-08,NA,185.6,194.5,NA,NA,NA,0
"8",2013-04-09,NA,229,233.115,NA,NA,NA,0
"9",2013-04-10,NA,162,170.986,NA,NA,NA,0
"10",2013-04-11,NA,83.4,120,NA,NA,NA,0
"11",2013-04-12,NA,109.99,114.71,NA,NA,NA,0
"12",2013-04-13,NA,91.64,97.599,NA,NA,NA,0
"13",2013-04-14,NA,91.11,95,NA,NA,NA,0
"14",2013-04-15,NA,74,78.001,NA,NA,NA,0
"15",2013-04-16,NA,68.09,70.11,NA,NA,NA,0
"16",2013-04-17,NA,89.98,91.797,NA,NA,NA,0
"17",2013-04-18,NA,109.3,114.28,NA,NA,NA,0
"18",2013-04-19,NA,117.71,116.95,NA,NA,NA,0
"19",2013-04-20,NA,126.55,126,NA,NA,NA,0
"20",2013-04-21,NA,118.81,121,NA,NA,NA,0
"21",2013-04-22,NA,123.74,127.596,NA,NA,NA,0
"22",2013-04-23,NA,137.29,145.9,NA,NA,NA,0
"23",2013-04-24,NA,149,154.1,NA,NA,NA,0
"24",2013-04-25,NA,141.9,136.4,NA,NA,NA,0
"25",2013-04-26,NA,137.3,134.7,NA,NA,NA,0
"26",2013-04-27,NA,128.8,131,NA,NA,NA,0
"27",2013-04-28,NA,135.28,135.81,NA,NA,NA,0
"28",2013-04-29,NA,143.31,144.21,NA,NA,NA,0
"29",2013-04-30,NA,139.88,139.88,NA,NA,NA,0
"30",2013-05-01,NA,116.75,113.209,NA,NA,NA,0
"31",2013-05-02,NA,106.81,104.41,NA,NA,NA,0
"32",2013-05-03,NA,98.08,95.49,NA,NA,NA,0
"33",2013-05-04,NA,112.62,114.8,NA,NA,NA,0
"34",2013-05-05,NA,116.57,116.89,NA,NA,NA,0
"35",2013-05-06,NA,112.71,110,NA,NA,NA,0
"36",2013-05-07,NA,110,113.49,NA,NA,NA,0
"37",2013-05-08,NA,113.16,110.12,NA,NA,NA,0
"38",2013-05-09,NA,111.96,112.5,NA,NA,NA,0
"39",2013-05-10,NA,117.9,118.38,NA,NA,NA,0
"40",2013-05-11,NA,115.04,115.02,NA,NA,NA,0
"41",2013-05-12,NA,114.5,116,NA,NA,NA,0
"42",2013-05-13,NA,115.99,117.2,NA,NA,NA,0
"43",2013-05-14,NA,107,106.65,NA,NA,NA,0
