Date;Volume
24.03.2022;NA
23.03.2022;1702600000
22.03.2022;2105683750
21.03.2022;1180042875
20.03.2022;NA
18.03.2022;1062177375
17.03.2022;523291875
16.03.2022;1707657875
15.03.2022;902577500
14.03.2022;816266375
13.03.2022;NA
11.03.2022;1064667125
10.03.2022;1208938000
09.03.2022;1502590500
08.03.2022;1001741125
07.03.2022;1116445000
06.03.2022;NA
04.03.2022;1160866000
03.03.2022;1318003375
02.03.2022;1410080000
01.03.2022;1910562500
28.02.2022;NA
27.02.2022;NA
25.02.2022;104371335
24.02.2022;2699065000
23.02.2022;1794312500
22.02.2022;2493268125
21.02.2022;NA
20.02.2022;NA
18.02.2022;1465268500
17.02.2022;1419082500
16.02.2022;859544125
15.02.2022;888348000
14.02.2022;1143112500
13.02.2022;NA
11.02.2022;1342587000
10.02.2022;1876322500
09.02.2022;913172500
08.02.2022;1298003750
07.02.2022;1597465750
06.02.2022;NA
04.02.2022;1861680000
03.02.2022;772629250
02.02.2022;838420000
01.02.2022;789608750
31.01.2022;NA
30.01.2022;NA
28.01.2022;165624525
27.01.2022;1501899000
26.01.2022;1891765625
25.01.2022;1644761625
24.01.2022;2965581250
23.01.2022;NA
21.01.2022;2335532250
20.01.2022;1529416125
19.01.2022;1373481750
18.01.2022;1448141750
17.01.2022;NA
16.01.2022;NA
14.01.2022;900270000
13.01.2022;880697125
12.01.2022;880341000
11.01.2022;1306090000
10.01.2022;1819616250
09.01.2022;NA
07.01.2022;1972928000
06.01.2022;1130391000
05.01.2022;2005439000
04.01.2022;1167938750
03.01.2022;NA
31.12.2021;116414200
30.12.2021;1529280000
29.12.2021;1640347625
28.12.2021;1943496500
27.12.2021;1409389125
26.12.2021;NA
24.12.2021;NA
23.12.2021;1191725500
22.12.2021;690733125
21.12.2021;955200000
20.12.2021;1014155000
19.12.2021;NA
17.12.2021;1065909000
16.12.2021;1340333750
15.12.2021;2027275000
14.12.2021;1391483500
13.12.2021;1652860000
12.12.2021;NA
10.12.2021;1456093000
09.12.2021;1265167500
08.12.2021;1230990625
07.12.2021;1264278875
06.12.2021;2293553750
05.12.2021;NA
03.12.2021;3090571250
02.12.2021;1671408000
01.12.2021;1877393750
30.11.2021;2265137250
29.11.2021;NA
28.11.2021;NA
26.11.2021;785832480
25.11.2021;NA
24.11.2021;2902514625
23.11.2021;2774927500
22.11.2021;3389992500
21.11.2021;NA
19.11.2021;2358468750
18.11.2021;2707985250
17.11.2021;1908663750
16.11.2021;2832386500
15.11.2021;1748076000
14.11.2021;NA
12.11.2021;2236203750
11.11.2021;1273340375
10.11.2021;2577934875
09.11.2021;1833741000
08.11.2021;1947394750
07.11.2021;NA
05.11.2021;1083842375
04.11.2021;1563245250
03.11.2021;1741368750
02.11.2021;1637827500
01.11.2021;NA
31.10.2021;NA
29.10.2021;195910880
28.10.2021;2919037500
27.10.2021;3889344000
26.10.2021;2309355000
25.10.2021;2222299750
24.10.2021;NA
22.10.2021;3139540250
21.10.2021;5036956750
20.10.2021;4983890000
19.10.2021;4834783000
18.10.2021;3075388500
17.10.2021;NA
15.10.2021;3507564375
14.10.2021;1831141000
13.10.2021;1979635000
12.10.2021;1898538375
11.10.2021;1611977000
10.10.2021;NA
08.10.2021;1392828250
07.10.2021;1463665000
06.10.2021;2604939750
05.10.2021;2122263500
04.10.2021;1437049375
03.10.2021;NA
01.10.2021;2164937500
30.09.2021;1033109625
29.09.2021;766090125
