Date;BITFINEX;BITSTAMP;HITBTC;COINBASE;BINANCE
18.12.2017;993646416,2257;278032842,7038;4755268,7328;495308221,6271;200340737,3450
19.12.2017;1066818138,4694;381322082,9130;3086219,1444;567080498,8357;228482532,6145
20.12.2017;1307151963,6040;513388128,2399;6629671,1250;785319181,4977;221784970,9609
21.12.2017;1006824077,3793;318690528,7389;4926661,0779;452679542,0621;314875781,9107
22.12.2017;2238667064,9255;805114786,5669;3862849,3560;1461128426,3644;480774396,2035
23.12.2017;822081966,2339;318503386,0327;2352460,0176;463701301,7088;174782467,0375
24.12.2017;952937583,4206;262199121,9161;1839960,5916;353215239,7370;385526722,3380
25.12.2017;610348512,2607;160877614,2897;1821561,7134;217037782,3446;215740050,3989
26.12.2017;959248479,3427;237352672,2544;2148851,2380;354780268,0412;235879058,2303
27.12.2017;825975709,0410;240480133,8312;62429510,2680;377649629,2459;231279359,0189
28.12.2017;997293215,8517;240270035,8120;60327493,0497;451503081,3071;308005051,3189
29.12.2017;677823362,8399;193873016,1048;62732095,9036;268784300,2924;259855597,4992
30.12.2017;907576089,7587;275036622,7704;75267795,2502;366840725,4070;239111398,2167
31.12.2017;585195686,5993;160777850,8195;65591164,5072;257913632,1523;161427699,8084
01.01.2018;390722416,8043;103359321,9315;60706423,3320;165689887,9787;115200673,9927
02.01.2018;789500456,2692;239441714,5490;74208372,7797;389381208,4465;294648210,3191
03.01.2018;577068726,4538;186035253,6357;70499569,3281;269720820,9861;237304767,3967
04.01.2018;687234378,8165;227215906,2389;77096487,6648;301669844,5734;321214710,9456
05.01.2018;885440546,5023;274822964,6460;80168112,3312;388518056,0366;394354357,5615
06.01.2018;500437647,9032;162984546,5161;69614868,4399;241030856,4529;317010879,6555
07.01.2018;467519231,8101;139195663,0663;67277511,9170;197841167,5332;201764352,5555
08.01.2018;909687691,7166;250146320,6209;76053511,9200;346974574,3907;396416653,2380
09.01.2018;621736319,1575;200400482,6789;68349099,3838;221997658,1001;206136061,2432
10.01.2018;835589616,3500;275153108,5856;73127943,7512;336020487,2107;259547368,6612
11.01.2018;922325178,5716;259977378,4528;69239809,5900;381971241,0704;444223605,7003
12.01.2018;487975573,4844;175273709,5321;58346542,4382;193121903,2900;225571971,9340
13.01.2018;370808740,4428;99826349,5093;53958733,3024;135157701,6375;173667636,1829
14.01.2018;454775895,3737;99715148,3328;54612523,9712;141400678,1804;229315955,9043
15.01.2018;451273291,0529;128588330,2494;69162379,3525;142601549,9694;198388205,5519
16.01.2018;1385087353,6881;441613903,3112;62415229,1408;717894702,4351;691069327,4352
17.01.2018;1450622062,8455;462555542,4360;67078860,0710;715250705,6513;794838923,6656
18.01.2018;927902595,5953;249631621,0996;66320289,7885;340367436,4336;531265681,8463
19.01.2018;524900977,8238;152532748,6528;63845911,8800;183484894,5026;391633848,2950
20.01.2018;573211116,3442;131854024,6798;63140828,1262;238711133,7838;368239654,0541
21.01.2018;606541896,2924;134068155,2320;63482638,2294;188710549,7940;477108787,6018
22.01.2018;699807798,1662;184446804,1380;58720410,1848;261627247,7682;470780236,7015
23.01.2018;674462662,6106;187010895,2909;58829341,4328;236663499,1038;404687140,1159
24.01.2018;494844167,9827;131940843,9253;34138589,7732;171567451,7339;308249699,5128
25.01.2018;379339685,5990;113929794,6338;23271626,3928;152553247,2424;232892114,7827
26.01.2018;613779413,4731;167077889,4848;52271693,0801;213448482,5621;366567653,1644
27.01.2018;379322189,5404;117923779,5289;55876309,3055;138615336,4488;216729089,0524
28.01.2018;336843850,9507;116168543,5547;62685281,9306;157634844,1170;200620749,1781
29.01.2018;274003814,7296;111487602,4789;56443944,8820;123450384,9015;159430917,6800
30.01.2018;594961410,4327;210106749,8997;52920671,6326;275257888,3156;261613148,5784
31.01.2018;436400802,3407;129301757,9442;51025187,6233;196822638,4287;185295917,3351
01.02.2018;703631882,1615;236615843,5223;49712678,7024;340535810,5427;309618839,6821
02.02.2018;730061711,1372;239142017,7265;28092559,6950;187759010,4165;443399648,4311
03.02.2018;468464389,3082;149480730,2601;47603169,5328;218437687,0909;264268857,7620
04.02.2018;554827213,6484;156535518,1260;47383799,5448;196535694,6479;262031031,9365
05.02.2018;898298908,6105;319785248,8204;40928387,8839;410530876,9975;440017453,0664
06.02.2018;1452334469,2380;548349882,2487;43545878,6290;705071084,0603;766755908,5592
07.02.2018;798768196,4974;247523000,7472;44577302,4642;385134892,5245;461855521,3167
08.02.2018;629830181,9388;187816105,0623;50410171,6304;259995184,3677;11843676,9141
09.02.2018;541374955,4397;162194413,9750;55194657,5602;241675984,7603;177871958,9714
10.02.2018;554376487,7847;125644986,7264;48481306,1073;212805107,0906;421420841,3504
11.02.2018;419596626,3713;103266222,5627;48532664,2196;136731156,6839;363077712,6224
12.02.2018;441490877,2257;133946629,9958;48141740,9432;173910868,6085;373817832,9125
13.02.2018;327970342,7608;96942824,8592;19553191,3169;118292968,5585;302781923,5469
14.02.2018;463482983,5989;165755515,0814;24945198,5700;230867789,6783;385672135,3707
15.02.2018;658133031,3063;210708524,7516;23657760,0000;323744992,3973;524280685,6337
16.02.2018;426329486,0738;120846976,7918;22678674,4668;180953351,6937;387717089,4717
17.02.2018;569888585,3452;161050386,0145;23767318,1304;231064854,6279;462359629,8645
18.02.2018;693035964,2332;183290883,4344;6295982,5775;276257950,7591;634815713,1725
19.02.2018;543887553,2610;130698753,6801;15574021,1456;196405667,6775;455392795,2620
